epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.8999,1.40365,2.28015,1.62798,0.47963,0.3211,0.33976,0.18092,1.92363,2.71977,2.19848,0.000553653,0.000553653,0.000553653
2,194.944,1.62368,2.21014,1.83135,0.19067,0.24423,0.14122,0.06335,2.20702,3.65199,2.63294,0.00108186,0.00108186,0.00108186
3,288.65,1.61879,2.24017,1.84497,0.36977,0.26594,0.23956,0.10972,1.99436,3.0558,2.26452,0.00158257,0.00158257,0.00158257
4,381.716,1.56192,2.13931,1.79767,0.42365,0.27342,0.26206,0.1373,2.06313,3.48707,2.42367,0.00154323,0.00154323,0.00154323
5,474.989,1.47768,1.98081,1.72792,0.55756,0.42696,0.48898,0.28655,1.61289,1.87012,1.9795,0.00150197,0.00150197,0.00150197
6,568.356,1.42959,1.89365,1.68587,0.57713,0.47418,0.5075,0.31173,1.58242,1.92537,1.87931,0.00146071,0.00146071,0.00146071
7,662.267,1.36646,1.80743,1.63051,0.63719,0.49539,0.54396,0.32271,1.55747,1.88714,1.85452,0.00141945,0.00141945,0.00141945
8,756.289,1.35241,1.739,1.61667,0.64329,0.49124,0.56955,0.34068,1.53019,1.7416,1.81325,0.00137819,0.00137819,0.00137819
9,848.19,1.30279,1.67174,1.58738,0.69277,0.55331,0.64593,0.39923,1.38608,1.5654,1.74623,0.00133693,0.00133693,0.00133693
10,940.808,1.27367,1.59927,1.56389,0.72526,0.54775,0.65521,0.41502,1.40547,1.52716,1.73375,0.00129568,0.00129568,0.00129568
11,1034.86,1.2446,1.56568,1.53549,0.72123,0.60368,0.69846,0.45876,1.31147,1.42808,1.62792,0.00125442,0.00125442,0.00125442
12,1128.67,1.23151,1.54095,1.51989,0.76052,0.6254,0.73189,0.48088,1.32416,1.30361,1.66203,0.00121316,0.00121316,0.00121316
13,1221.72,1.20702,1.48243,1.49691,0.75597,0.6244,0.7316,0.48436,1.2559,1.302,1.59707,0.0011719,0.0011719,0.0011719
14,1314.04,1.19743,1.4462,1.49761,0.75369,0.63207,0.73793,0.47848,1.31131,1.30935,1.64172,0.00113064,0.00113064,0.00113064
15,1406.08,1.16722,1.39931,1.47153,0.76988,0.68067,0.76538,0.50714,1.25006,1.19972,1.58052,0.00108938,0.00108938,0.00108938
16,1498.79,1.14684,1.34253,1.45704,0.79384,0.63181,0.76368,0.50435,1.24787,1.26416,1.57488,0.00104813,0.00104813,0.00104813
17,1591.35,1.14429,1.32375,1.44956,0.82463,0.66719,0.78805,0.53567,1.23046,1.13766,1.55858,0.00100687,0.00100687,0.00100687
18,1684.18,1.10603,1.27825,1.42932,0.76002,0.68247,0.77411,0.52458,1.18569,1.18044,1.51925,0.00096561,0.00096561,0.00096561
19,1776.47,1.10924,1.27129,1.43005,0.81017,0.68248,0.79975,0.54529,1.19099,1.12124,1.51115,0.000924352,0.000924352,0.000924352
20,1867.74,1.10225,1.25427,1.42126,0.83954,0.67516,0.79729,0.52836,1.23183,1.12031,1.55242,0.000883093,0.000883093,0.000883093
21,1959.65,1.08906,1.23521,1.41243,0.79866,0.73264,0.82956,0.56502,1.16693,1.02985,1.4951,0.000841835,0.000841835,0.000841835
22,2051.87,1.07254,1.1991,1.39863,0.8569,0.69329,0.83217,0.55898,1.18692,1.07418,1.50043,0.000800577,0.000800577,0.000800577
23,2143.56,1.05961,1.19053,1.38705,0.82699,0.74395,0.83387,0.56852,1.15565,1.02206,1.48074,0.000759318,0.000759318,0.000759318
24,2234.55,1.05542,1.17863,1.38229,0.85153,0.72947,0.83877,0.57577,1.16059,1.00846,1.49416,0.00071806,0.00071806,0.00071806
25,2325.49,1.04691,1.14839,1.37268,0.81105,0.73957,0.82527,0.56718,1.16457,1.01958,1.48447,0.000676802,0.000676802,0.000676802
26,2415.47,1.03316,1.11014,1.35668,0.82849,0.76078,0.85298,0.59096,1.11595,0.97778,1.44045,0.000635544,0.000635544,0.000635544
27,2506.02,1.01285,1.0977,1.34967,0.86447,0.75314,0.85963,0.60302,1.09709,0.92304,1.43533,0.000594286,0.000594286,0.000594286
28,2597.91,0.99684,1.07728,1.33974,0.85305,0.77973,0.8684,0.60879,1.0985,0.90837,1.42934,0.000553027,0.000553027,0.000553027
29,2689.87,1.00251,1.07631,1.34442,0.8817,0.75611,0.86772,0.60682,1.07961,0.89486,1.41154,0.000511769,0.000511769,0.000511769
30,2780.5,0.98017,1.03612,1.32198,0.88219,0.76693,0.86935,0.61845,1.05585,0.87736,1.39127,0.000470511,0.000470511,0.000470511
31,2871.16,0.97412,0.898,1.35129,0.86146,0.77891,0.8729,0.62049,1.05551,0.8822,1.38528,0.000429253,0.000429253,0.000429253
32,2960.29,0.94514,0.85026,1.32471,0.86968,0.75483,0.86612,0.62989,1.0416,0.87108,1.38162,0.000387994,0.000387994,0.000387994
33,3049.59,0.93702,0.82139,1.31762,0.87127,0.77638,0.88212,0.63142,1.05791,0.84776,1.3919,0.000346736,0.000346736,0.000346736
34,3139.05,0.90178,0.79033,1.28763,0.87723,0.79136,0.88926,0.64377,1.0171,0.81043,1.35008,0.000305478,0.000305478,0.000305478
35,3228.36,0.87808,0.75762,1.26458,0.89554,0.81278,0.89496,0.64987,1.01371,0.79786,1.34997,0.00026422,0.00026422,0.00026422
36,3317.2,0.86989,0.73462,1.26416,0.89365,0.8025,0.90085,0.66004,1.01638,0.77532,1.33744,0.000222961,0.000222961,0.000222961
37,3406.25,0.85506,0.7147,1.24695,0.88841,0.81093,0.90094,0.66036,0.99611,0.77066,1.33127,0.000181703,0.000181703,0.000181703
38,3495.26,0.83883,0.68985,1.23497,0.89208,0.80585,0.90271,0.66547,0.99782,0.75301,1.33765,0.000140445,0.000140445,0.000140445
39,3584.01,0.82037,0.67316,1.22459,0.88505,0.82545,0.9024,0.67108,0.99002,0.74367,1.32382,9.91865e-05,9.91865e-05,9.91865e-05
40,3673.41,0.81757,0.66337,1.22151,0.86917,0.82866,0.90296,0.66905,0.97475,0.73267,1.31624,5.79283e-05,5.79283e-05,5.79283e-05
